obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,2,40,99.81,25,44,false,false,true,false,false,false,false,Primaria incompleta,Mujer,UCAYALI,Selva,Secano,Venta,Acopiador,Secano
false,3,5.5,95.06,40,59,false,true,true,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Gravedad,Venta,Comerciante mayorista,Gravedad
true,3,3.5,98.79,23,41,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,AMAZONAS,Selva,Gravedad,Venta,Acopiador,Gravedad
true,2,1,99.82,1,42,false,false,true,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Selva,Gravedad,Venta,Acopiador,Gravedad
true,4,79,87.44,35,58,false,true,true,false,false,false,false,Primaria completa,Hombre,AMAZONAS,Sierra,Secano,Venta,Comerciante mayorista,Secano
true,4,36,99.01,8,38,false,true,true,false,false,false,false,Superior universitaria completa,Hombre,ANCASH,Costa,Goteo,Venta,Empresa/Agroindustria,Goteo
false,1,10,0,20,65,false,false,false,false,false,false,false,Secundaria completa,Mujer,ANCASH,Costa,No especificado,Otro,Sin ventas,No especificado
true,3,2.73,62.5,30,50,false,false,false,false,false,false,false,Superior universitaria incompleta,Hombre,ANCASH,Sierra,Secano,Venta,Consumidor final,Secano
true,1,0.22,100,10,50,false,false,false,false,false,false,false,Sin nivel,Mujer,APURIMAC,Sierra,Aspersion,Venta,Comerciante minorista,Aspersion
true,3,0.21,0,20,42,false,false,false,false,false,false,false,Secundaria completa,Hombre,AREQUIPA,Sierra,No especificado,Autoconsumo,Sin ventas,No especificado
true,1,11.5,100,25,69,false,false,true,false,false,false,true,Secundaria completa,Hombre,AREQUIPA,Costa,Goteo,Venta,Acopiador,Goteo
